Date,Base Currency,Source Currency,rate
2024-05-01,ZAR,EUR,0.050259
2025-12-24,CHF,ZAR,21.136497
2025-03-24,CAD,ZAR,12.750135
2024-03-14,NZD,ZAR,11.476585
2024-07-27,GBP,ZAR,23.490991
2025-11-08,USD,CHF,0.80538
2025-10-30,USD,CHF,0.801605
2025-07-29,EUR,USD,1.155028
2025-07-19,USD,CAD,1.373251
2024-02-26,USD,AUD,1.529251
2024-05-20,GBP,AUD,1.904976
2025-12-04,GBP,ZAR,22.634943
2024-08-29,GBP,CAD,1.775973
2025-01-10,CAD,GBP,0.564245
2024-10-08,GBP,CAD,1.787934
2024-08-18,GBP,EUR,1.174227
2024-09-13,EUR,CHF,0.941311
2024-12-01,JPY,EUR,0.006327
2025-08-13,EUR,ZAR,20.503063
2024-07-30,EUR,JPY,165.130238
2024-03-19,CAD,GBP,0.579244
2024-10-22,GBP,CHF,1.123715
2024-01-12,NZD,JPY,90.410262
2024-08-23,EUR,JPY,161.798792
2024-10-01,GBP,CHF,1.12336
2024-06-23,EUR,NZD,1.748989
2025-01-24,NZD,CHF,0.512702
2024-08-26,NZD,AUD,0.916205
2024-10-15,GBP,JPY,194.815525
2025-02-22,JPY,EUR,0.006403
2024-08-01,USD,JPY,149.213501
2025-08-02,JPY,ZAR,0.122417
2025-06-23,CHF,USD,1.230504
2024-07-14,EUR,NZD,1.785951
2024-07-23,CHF,CAD,1.546337
2025-08-21,JPY,CAD,0.009369
2025-09-09,GBP,CHF,1.078272
2025-09-03,GBP,CAD,1.853918
2024-06-30,JPY,ZAR,0.112212
2024-09-25,NZD,EUR,0.562109
2025-11-17,JPY,AUD,0.00992
2025-05-23,JPY,USD,0.007014
2025-08-12,JPY,ZAR,0.118985
2024-08-28,AUD,EUR,0.609858
2025-01-16,ZAR,JPY,8.259279
2024-05-28,ZAR,CHF,0.049909
2024-10-02,AUD,CAD,0.930091
2025-01-25,CAD,GBP,0.552874
2024-12-31,EUR,NZD,1.859998
2025-03-23,ZAR,CHF,0.048485
2025-06-08,JPY,CAD,0.009462
2025-12-09,GBP,CHF,1.072339
2024-07-12,ZAR,EUR,0.051003
2024-12-19,ZAR,USD,0.054302
2024-12-15,EUR,CHF,0.937275
2024-07-16,EUR,ZAR,19.672225
2025-04-04,ZAR,AUD,0.086543
2025-11-17,ZAR,EUR,0.05022
2024-10-04,ZAR,CHF,0.049053
2025-02-28,ZAR,CAD,0.077362
2024-09-19,USD,CAD,1.35645
2024-02-06,EUR,USD,1.075662
2024-07-19,EUR,USD,1.089265
2025-12-03,USD,AUD,1.51445
2024-01-16,USD,GBP,0.791281
2025-12-04,CAD,EUR,0.615256
2024-07-05,CHF,EUR,1.028747
2024-10-03,ZAR,EUR,0.051798
2025-05-08,EUR,CHF,0.93372
2024-01-16,AUD,EUR,0.605682
2024-05-09,CHF,USD,1.103868
2024-07-04,CHF,USD,1.110615
2025-01-10,ZAR,CAD,0.075976
2024-09-27,AUD,GBP,0.516904
2025-06-12,EUR,ZAR,20.619636
2025-01-03,ZAR,USD,0.053442
2025-03-07,ZAR,USD,0.05479
2025-02-14,ZAR,USD,0.054427
2024-04-18,ZAR,GBP,0.04195
2025-01-03,ZAR,GBP,0.043018
2024-11-14,ZAR,GBP,0.043186
2025-03-06,ZAR,EUR,0.051115
2024-10-30,ZAR,EUR,0.052169
